Taylor Swift and Beyoncé Get Their Own Press Corps;Sept. 12;Newspapers rarely assign a reporter to cover a single artist. But Swift and Beyoncé are cultural forces whose tours continue breaking records.;images/Taylor-Swift-and-Beyoncé-Get-Their-Own-Press-Corps.jpg;0;False
Altice USA Said to Be Considering a Sale of Cheddar News;July 23;The cable company acquired the network, once billed as “CNBC for millennials,” in 2019 for $200 million.;images/Altice-USA-Said-to-Be-Considering-a-Sale-of-Cheddar-News.jpg;0;False
NPR’s Terence Samuel Is Named Top Editor of USA Today;June 1;Mr. Samuel, who will start in July, has overseen NPR’s news gathering.;images/NPR’s-Terence-Samuel-Is-Named-Top-Editor-of-USA-Today.jpg;0;False
‘American Made’ T-Shirts Are Having Their Best Year Yet;July 1;Flag-themed apparel and other Americana are always July Fourth favorites, but it now may matter more where those stars and stripes were stitched.;images/‘American-Made’-T-Shirts-Are-Having-Their-Best-Year-Yet.jpg;0;False
Skechers Says It Escorted Kanye West From Its Offices After Unannounced Visit;Oct. 26, 2022;The footwear company said Mr. West, also known as Ye, had been “engaged in unauthorized filming” at one of its corporate offices in Los Angeles.;images/Skechers-Says-It-Escorted-Kanye-West-From-Its-Offices-After-Unannounced-Visit.jpg;0;False
USA Today to Remove 23 Articles After Investigation Into Fabricated Sources;June 15, 2022;The articles were removed after an investigation identified stories with sources that appeared to be fabricated, USA Today said.;images/USA-Today-to-Remove-23-Articles-After-Investigation-Into-Fabricated-Sources.jpg;0;False
Gannett Starts Another Round of Staff Cuts;Nov. 30, 2022;The largest newspaper chain is cutting roughly 6 percent of its 3,440-person U.S. media division.;images/Gannett-Starts-Another-Round-of-Staff-Cuts.jpg;0;False
USA Today will make readers pay for its website, joining other top news outlets.;July 6, 2021;USA Today’s shift to a digital subscription model signals the definitive end of an era when newspapers relied primarily on print advertisements for revenue.;images/USA-Today-will-make-readers-pay-for-its-website,-joining-other-top-news-outlets..jpg;0;False
Gannett Announces Widespread Cost-Cutting;Oct. 11, 2022;The moves at the nation’s largest newspaper publisher include a week of mandatory unpaid leave and voluntary buyouts.;images/Gannett-Announces-Widespread-Cost-Cutting.jpg;0;False
A Top Labor Official Joins Greenpeace USA.;Feb. 23, 2022;The move by Tefere Gebre, the No. 3 official at the A.F.L.-C.I.O., highlights what many labor and environmental officials say is a need to cooperate.;images/A-Top-Labor-Official-Joins-Greenpeace-USA..jpg;0;False
